2D,,,,,,,,,
3D,volume,,,,,,,,
4D,,,,,,,,,
ALL,,,,,,,,,
particle,single,,,,,,,,
Time,,,,,,,,,
Track,tracer,tracing,,,,,,,
Nuclei,nuclear,nucleolus,nucleus,,,,,,
Cell,cell/nuclei,cell/structure,cells,cells/cellular,cells/structures,cells/yeast,cellular,cytoplasm/cells,
cytoplasm,cytoplasmic,,,,,,,,
segment,ObjectDetection,detection,find,identification,identified,identify,segentation,segmation,selecting
Co-localization,localization,Colocalisation,localising,localizing,,,,,
Automation,automated,automatic,automatically,automize,,,,,
low contrast,signal to noise,S/N,low-noise,low-quality,low-snr,,,,
Super-Resolution,,,,,,,,,
Tissue,histology,histologically,histological/fluorescent,histo-cytometry,whole,slide,,,
Thresholding,,,,,,,,,
Stitching,,,,,,,,,
Large data set,large area,large amounts of data,,,,,,,
Deconvolution,,,,,,,,,
Classification,,,,,,,,,
Trainable,AI,ML,,,,,,,
Alignment,,,,,,,,,
boundaries,boundary,,,,,,,,
EM,,,,,,,,,
membrane,,,,,,,,,
measure,measuring,,,,,,,,
object,,,,,,,,,
quantify,quantitation,quantitative,quantified,quantification,,,,,
registration,,,,,,,,,
structure,,,,,,,,,